dateres,mpnumber,rec_acres,new_units,parcelct,shape_area,pet_no,dev_type,desc_lpd,objectid,unit_price,petitioner,rehab_unit,netarea,orig_fid,nezname,inactive,gen_bound,Shape__Area,Shape__Length
2003/03/26 00:00:00+00,1970/01/01 00:00:00+00,10.76,38,61,16.3,,mix,30 lofts (rehab) & 8 townhouses (new),42,"$155,000-$350,000",Cass Avenue Development (Joel Landy),,11.98,1,Leland Lofts,,"Nellie Leland School/n-Service, e-Antietem, s-Antietem, w-Rivard",120666.2109375,1546.42065451842
2003/04/16 00:00:00+00,1970/01/01 00:00:00+00,89.92,123,644,96.66,,new,123 houses (new),43,"$120,000-$140,000",Jefferson North Park LLC (Parkstone Dev./Moten Group/RAS Dev),,66.17,1,Jefferson North Park,,"n-Charlevoix, e-St. Jean, s-E. Jefferson, w-west side of Lemay",716198.859375,3601.98174621272
2003/04/16 00:00:00+00,1970/01/01 00:00:00+00,18.02,26,23,20.9,,mix,"100 lofts (rehab); 10 rowhouses (new); 16 condo's (new)",44,market rate,New Center Council/Crosswinds/Farbman,100,14.45,1,New Amsterdam,1,"n-Amsterdam, e-Cass, s-Burroughs, w-alley west of Cass",154836.44140625,2339.49589543637
2003/04/16 00:00:00+00,1970/01/01 00:00:00+00,39.61,93,314,43.81,,new,93 houses (new),45,"$89,000 & $170,000-$200,000",Greater Corktown Development Corp.,,27.3,1,North Corktown,,"n-MLK, e-Trumbull, s-Temple, w-Rosa Parks",324293.96875,2286.38837587781
2003/04/16 00:00:00+00,1970/01/01 00:00:00+00,85.81,400,700,93.07,,new,400 houses (new),46,low/mod units,Oakland East Development Group,,62.31,1,Oakland-Caniff,,"n-Caniff, e-Chrysler, s-Owen, w-Greeley & Oakland",690098.25390625,4214.24183658805
2003/04/16 00:00:00+00,1970/01/01 00:00:00+00,48.33,50,348,53.91,,new,50 houses (new),47,low/mod units,"Oakland East CDC (Vann, Bing, Jordan, Moten)",,35.05,1,Oakland-Clay,1,"n-alley north of King, e-Chrysler & Cameron, s-Clay, w-Oakland",399604.4609375,3520.89836631116
2003/04/30 00:00:00+00,1970/01/01 00:00:00+00,58.14,80,162,60.74,,mix,80-100 houses (new) & 120-150 houses (rehab),48,"$100,000-$300,000",Vanguard/E. Grand Blvd. Development,120,33.81,1,East Grand Boulevard,,"n-north side of E. Grand, e-Chrysler Service Dr., s-Milwaukee, w-Woodward",450073.98828125,4015.29208329351
2003/04/30 00:00:00+00,1970/01/01 00:00:00+00,3.52,13,1,3.96,,new,13 townhomes (new). $2.5m investment,49,"$139,000-$169,000",Crosswinds Communities,,0.68,1,Uptown Row Expansion,1,"n-Lothrop, e-Third, s-Grand Blvd., w-Lodge",29365.90625,765.340742702526
2003/06/12 00:00:00+00,1970/01/01 00:00:00+00,0.91,1,9,0.91,,new,1 house (new),50,"$170,000",Rose Evans (citizen),,0.77,1,St. Clair,1,east side of St. Clair just north of Jefferson,6728.1875,405.869395488956
2003/07/02 00:00:00+00,1970/01/01 00:00:00+00,3.37,,1,4.08,,rehab,172 condo's (rehab),51,"$94,000-$800,000",Stearns Building LP,172,3.01,1,Stearns Building,,Lofts at Rivertown/E. Jefferson between Beaufait and Bellevue,30225.9921875,936.719170256516
2003/07/23 00:00:00+00,1970/01/01 00:00:00+00,420.02,,2774,365.28,,mix,hundreds of new & rehab,52,market rate & low/mod,P&DD,,243.14,1,Lower Far East Side,1,"n-E. Canfield, e-Newport, s-E. Jefferson, w-Dickerson",2707356.9375,8994.90171551201
2003/11/26 00:00:00+00,1970/01/01 00:00:00+00,26.54,,4,29.18,,rehab,577 condos (rehab),53,"$90,000-$300,000",Riverfront Associates (Peter Cummings of Detroit),577,,1,Riverfront Towers,1,"n-W. Jefferson, e-Third, s-Detroit River, w-line 200 ft. west of Cabacier",215866.140625,2265.19539471929
2016/09/12 00:00:00+00,1970/01/01 00:00:00+00,1.69,20,8,2.03,1267,new,20 new condo units,54,,ECO Homes LLC,,0.55,0,ECO Homes LLC,,"Midtown area 3920-4160 Fourth, 831 W. Alexandrine",15040.52734375,778.629587151868
2004/02/11 00:00:00+00,1970/01/01 00:00:00+00,38.25,119,339,44.37,,new,46 houses (new),55,"$90,000-$100,000",Gratiot McDougall Homes/Urban Entities Group V (out of Chicago),,28.2,1,Gratiot-McDougall,,"n-Hunt, e-alley west of Mt. Elliott, s-Vernor, w-alley east of Chene",328598.69140625,3718.58382441097
2004/02/11 00:00:00+00,1970/01/01 00:00:00+00,99.99,326,824,105.92,,new,326 houses (new),56,"$60,000-$80,000",Prevailing CDC/Phoenix Group Consultants,,71.97,1,West Pointe Homes,1,"n-Tireman, e-Begole, s-Warren, w-Epworth more or less",784295.65625,3997.17975889733
2004/02/18 00:00:00+00,1970/01/01 00:00:00+00,58.03,52,413,63.5,,new,50 duplexes (new) & 2 houses (new),57,"$100,000-$150,000 & $185,000",Glenn E. Wash Assoc./Carylss Lewis,,43.52,1,Briggs,,"n-MLK, e-Rosa Parks, s-Temple, w-alley west of 18th",470043.3359375,3922.29184868121
2004/02/18 00:00:00+00,1970/01/01 00:00:00+00,189.58,160,1355,199.42,,new,160 houses and townhouses (new). Investment of $24m,58,"$80,000-$150,000",Detroit Catholic Pastoral Alliance,,138.37,1,Gratiot Woods,,"n-Gratiot/I-94, e-Cadillac, s-Warren, w-Rohns",1478342.90234375,5016.17111617439
2004/02/25 00:00:00+00,1970/01/01 00:00:00+00,12.01,67,93,14.86,,mix,67 houses and townhouses (new) & 26 houses (rehab),59,"$75,000-$160,000",North Woodbridge Properties (James Wickenheiser of Detroit),26,9.3,1,North Woodbridge,1,"n-Ford Freeway Service Dr., e-Commonwealth, s-Merrick/Putnam, w-Rosa Parks",110058.890625,1623.45307606063
